"City Name","State Name","avg_aqi","Month","Year","aqi_index"
"Addis","Louisiana",3,1,2020,"Good"
"Addis","Louisiana",13,1,2021,"Good"
"Addis","Louisiana",1,2,2020,"Good"
"Addis","Louisiana",3,3,2020,"Good"
"Addis","Louisiana",4,4,2020,"Good"
"Addis","Louisiana",2,5,2020,"Good"
"Addis","Louisiana",1,6,2020,"Good"
"Addis","Louisiana",5,7,2020,"Good"
"Addis","Louisiana",2,8,2020,"Good"
"Addis","Louisiana",8,9,2020,"Good"
"Addis","Louisiana",9,10,2020,"Good"
"Addis","Louisiana",4,11,2020,"Good"
"Addis","Louisiana",4,12,2020,"Good"
"Air Force Academy","Colorado",37,1,2020,"Good"
"Air Force Academy","Colorado",36,1,2021,"Good"
"Air Force Academy","Colorado",36,1,2022,"Good"
"Air Force Academy","Colorado",38,2,2020,"Good"
"Air Force Academy","Colorado",37,2,2021,"Good"
"Air Force Academy","Colorado",41,2,2022,"Good"
"Air Force Academy","Colorado",41,3,2020,"Good"
"Air Force Academy","Colorado",44,3,2021,"Good"
"Air Force Academy","Colorado",43,3,2022,"Good"
"Air Force Academy","Colorado",47,4,2020,"Good"
"Air Force Academy","Colorado",45,4,2021,"Good"
"Air Force Academy","Colorado",54,4,2022,"Moderate"
"Air Force Academy","Colorado",52,5,2020,"Moderate"
"Air Force Academy","Colorado",50,5,2021,"Good"
"Air Force Academy","Colorado",55,6,2020,"Moderate"
"Air Force Academy","Colorado",59,6,2021,"Moderate"
"Air Force Academy","Colorado",54,7,2020,"Moderate"
"Air Force Academy","Colorado",90,7,2021,"Moderate"
"Air Force Academy","Colorado",78,8,2020,"Moderate"
"Air Force Academy","Colorado",83,8,2021,"Moderate"
"Air Force Academy","Colorado",56,9,2020,"Moderate"
"Air Force Academy","Colorado",59,9,2021,"Moderate"
"Air Force Academy","Colorado",40,10,2020,"Good"
"Air Force Academy","Colorado",45,10,2021,"Good"
"Air Force Academy","Colorado",37,11,2020,"Good"
