"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"Georgia",2020,9,1836,33,349,56,86,26,85,38,35,24,388,95,221,242
"Nevada",2021,10,610,NULL,100,15,16,12,30,NULL,11,NULL,143,29,119,124
"Louisiana",2022,5,805,20,176,29,35,11,36,15,16,14,212,56,10,13
"Georgia",2021,1,2611,41,357,72,107,29,98,53,52,26,486,106,717,774
"New Mexico",2021,4,365,NULL,69,14,14,10,16,10,NULL,NULL,84,16,15,18
"New Jersey",2021,11,1456,38,302,36,55,24,49,37,30,24,372,67,78,90
"Mississippi",2022,1,878,NULL,128,32,43,15,51,NULL,18,NULL,194,40,188,228
"Maryland",2021,7,818,14,200,29,19,16,31,13,13,NULL,206,52,13,17
"North Dakota",2022,2,157,0,25,10,NULL,NULL,10,NULL,0,0,29,10,26,32
"Minnesota",2021,1,981,14,195,30,43,18,41,14,14,20,171,48,152,189
"Hawaii",2021,11,227,NULL,50,10,12,NULL,12,0,NULL,NULL,46,20,11,11
"Massachusetts",2020,1,1204,24,250,30,33,34,56,20,29,14,247,47,70,77
"Louisiana",2020,8,1060,21,181,39,48,15,40,23,23,17,225,49,194,211
"Kentucky",2021,4,915,21,198,30,28,10,64,14,21,NULL,207,44,43,58
"Kansas",2020,3,491,11,87,19,19,21,32,11,NULL,11,118,27,0,0
"Alabama",2020,5,1047,19,190,26,52,18,60,16,19,20,271,53,89,95
"Louisiana",2021,11,888,22,179,35,39,11,45,19,22,13,225,54,36,43
"Maine",2022,8,278,0,62,10,14,NULL,13,NULL,NULL,18,60,15,12,13
"Iowa",2021,2,585,NULL,117,20,22,NULL,31,NULL,NULL,NULL,151,23,53,70
"Delaware",2021,12,219,NULL,42,12,NULL,NULL,12,NULL,NULL,0,45,15,28,32
"District of Columbia",2022,9,81,0,18,0,0,0,NULL,0,0,14,19,11,0,0
"New Mexico",2020,5,379,NULL,63,16,11,NULL,17,11,12,0,81,16,58,62
"New York",2022,1,2196,24,312,58,38,47,64,33,34,36,515,73,549,657
"Iowa",2021,3,520,10,110,17,18,NULL,30,10,10,10,131,21,26,38
"Utah",2021,7,377,11,66,15,18,NULL,18,NULL,5,12,81,18,24,25
"Rhode Island",2022,3,183,NULL,43,0,10,NULL,15,NULL,NULL,0,41,18,NULL,14
"Wyoming",2021,5,82,0,22,0,NULL,NULL,NULL,0,NULL,0,19,0,0,NULL
"New York",2021,3,1659,20,304,47,39,37,56,27,25,22,404,63,279,312
"Alaska",2020,11,101,0,21,NULL,NULL,0,NULL,0,NULL,0,18,NULL,14,17
"Utah",2020,7,375,NULL,66,13,21,NULL,15,10,NULL,NULL,83,18,28,33
"Ohio",2021,7,2086,37,472,76,87,24,126,36,36,24,520,121,36,49
"New Mexico",2020,10,366,NULL,73,15,14,11,18,NULL,NULL,0,75,15,34,36
"Nebraska",2021,7,298,NULL,70,12,15,NULL,19,NULL,NULL,NULL,74,14,16,16
"District of Columbia",2021,7,99,NULL,22,NULL,0,0,NULL,0,0,NULL,22,NULL,NULL,NULL
"Utah",2020,1,373,NULL,68,14,19,21,20,NULL,11,NULL,80,20,16,20
"Mississippi",2021,6,595,NULL,125,24,30,12,40,NULL,11,NULL,163,33,17,24
"Utah",2021,6,349,NULL,66,15,21,NULL,16,NULL,NULL,NULL,83,16,14,15
"Nevada",2021,9,647,12,98,15,17,11,27,NULL,NULL,10,149,31,165,173
"New York",2022,6,1381,24,290,41,25,30,55,32,22,67,379,56,44,68
"Missouri",2022,4,1147,18,249,31,44,18,68,21,35,10,305,56,19,30
"Hawaii",2021,6,205,NULL,46,11,13,0,10,NULL,NULL,NULL,45,18,NULL,NULL
"Pennsylvania",2020,9,2367,42,544,79,77,24,101,38,48,39,594,116,74,93
"Kentucky",2020,3,889,15,188,25,31,25,71,21,17,15,224,42,0,0
"Puerto Rico",2020,9,588,14,100,60,48,14,20,13,19,17,109,25,45,52
"Utah",2022,4,368,NULL,68,14,18,NULL,19,10,10,NULL,94,18,NULL,NULL
"Oregon",2020,8,685,NULL,154,24,37,NULL,36,12,13,11,141,40,26,30
"New Mexico",2021,8,379,NULL,66,16,10,NULL,19,NULL,10,NULL,74,18,50,53
"Massachusetts",2020,8,934,14,240,27,27,13,33,16,21,13,191,43,19,28
"Georgia",2022,4,1622,30,352,49,69,22,87,40,42,24,399,91,27,47
"Florida",2020,9,4147,54,864,138,137,49,196,49,57,58,929,284,446,510
"Wisconsin",2021,1,1198,13,208,28,53,11,53,13,21,21,262,48,206,246
"South Carolina",2022,2,1282,17,199,38,57,15,56,21,19,11,245,63,256,321
"Hawaii",2021,5,213,0,51,NULL,12,NULL,11,NULL,NULL,0,52,16,NULL,NULL
"Arkansas",2021,4,577,13,119,26,25,NULL,34,12,17,NULL,149,37,15,20
"New Hampshire",2022,6,243,NULL,57,NULL,14,0,13,NULL,NULL,12,55,10,13,12
"Arizona",2022,5,1158,NULL,249,45,53,19,64,23,17,19,264,58,16,28
"Minnesota",2020,3,825,11,186,28,47,22,46,15,13,24,160,41,3,4
"Louisiana",2021,10,933,22,178,36,38,10,38,22,19,13,221,50,98,106
"New Hampshire",2021,12,294,NULL,52,12,NULL,NULL,15,NULL,NULL,NULL,60,10,55,61
"New Jersey",2022,7,1338,33,285,37,40,19,42,30,29,81,330,63,38,60
"Washington",2022,6,1122,13,257,36,59,14,59,17,14,31,237,60,34,55
"New York",2022,5,1436,20,308,44,32,36,57,34,22,48,386,60,60,90
"District of Columbia",2020,4,177,NULL,26,NULL,NULL,0,NULL,0,0,0,36,10,52,52
"Puerto Rico",2022,9,533,15,91,51,48,15,17,NULL,19,20,101,18,33,39
"Arizona",2022,1,1787,14,254,61,64,26,82,26,24,24,323,75,423,471
"Hawaii",2021,9,285,NULL,44,10,13,NULL,10,NULL,NULL,NULL,58,19,57,60
"Virginia",2020,9,1337,18,289,42,53,15,53,23,28,13,288,77,100,112
"Nevada",2021,1,747,NULL,105,21,18,11,29,NULL,NULL,11,156,33,221,235
"Colorado",2020,4,957,14,171,26,54,13,55,17,12,NULL,166,41,183,196
"Maine",2022,4,277,0,69,12,12,NULL,21,NULL,NULL,NULL,60,11,13,14
"Alaska",2021,3,78,0,17,NULL,0,0,NULL,NULL,0,0,18,NULL,NULL,NULL
"Florida",2022,2,5059,57,927,161,145,56,236,55,80,90,1089,355,745,910
"Indiana",2021,2,1385,19,271,50,40,12,83,19,30,12,302,69,159,195
"North Carolina",2021,3,1859,30,393,68,80,28,82,31,45,20,403,107,127,154
"Wyoming",2020,8,83,0,19,NULL,NULL,0,14,0,0,0,18,NULL,0,0
"Kentucky",2020,5,884,18,193,27,28,12,54,16,14,14,205,39,48,51
"Utah",2022,8,362,NULL,70,14,14,NULL,18,12,12,24,76,18,11,14
"Kansas",2022,9,467,NULL,96,15,19,NULL,23,NULL,10,47,91,18,14,18
"Wyoming",2021,4,79,0,24,NULL,NULL,NULL,NULL,0,0,0,17,NULL,0,0
"Utah",2020,9,353,NULL,69,14,19,NULL,16,NULL,NULL,NULL,82,19,14,18
"Oregon",2022,2,885,NULL,171,25,42,NULL,36,15,11,12,163,54,123,157
"New Jersey",2020,8,1222,35,286,36,40,18,43,34,26,20,322,61,31,42
"Arkansas",2022,9,553,11,113,17,23,10,35,10,17,15,141,29,18,29
"West Virginia",2021,7,399,11,89,17,15,NULL,25,NULL,12,15,89,18,18,13
