Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
United States,2020,1,1/4/2020,60176,55009,843,11569,1829,2537,1559,3501,1068,1094,630,14202,3110,0,0
United States,2020,2,1/11/2020,60744,55760,861,11963,1942,2566,1528,3709,1035,1092,649,13913,3189,1,1
United States,2020,3,1/18/2020,59362,54516,829,11701,1819,2491,1484,3526,992,1121,612,13593,3256,2,1
United States,2020,4,1/25/2020,59163,54401,828,11879,1864,2517,1488,3403,979,1107,638,13612,3185,3,2
United States,2020,5,2/1/2020,58834,54001,811,11963,1828,2480,1411,3313,981,1074,616,13465,3084,0,0
United States,2020,6,2/8/2020,59482,54411,806,11704,1957,2515,1463,3413,975,1135,600,14001,3056,4,3
United States,2020,7,2/15/2020,58815,53969,792,11807,1848,2537,1515,3477,979,1070,613,13641,3089,6,2
United States,2020,8,2/22/2020,58912,53987,779,11780,1880,2515,1462,3454,968,1059,608,13632,3083,6,6
United States,2020,9,2/29/2020,59343,54321,814,11790,1831,2519,1508,3460,1011,1092,676,13718,3126,9,9
United States,2020,10,3/7/2020,59694,54386,811,11712,1867,2511,1608,3470,1002,1071,654,13684,3097,38,34
United States,2020,11,3/14/2020,58695,53545,756,11568,1744,2445,1641,3391,993,1078,644,13446,3165,60,55
United States,2020,12,3/21/2020,59219,54301,840,11732,1830,2514,1740,3384,1021,1105,617,13203,3066,588,550
United States,2020,13,3/28/2020,63026,58238,846,11782,2044,2749,1783,3519,1064,1024,629,13710,3067,3226,3043
United States,2020,14,4/4/2020,72294,67445,948,11592,2298,2871,1849,3538,1027,1038,689,14945,3165,10141,9638
United States,2020,15,4/11/2020,79096,74004,833,11549,2354,2963,1613,3441,1017,1120,664,15762,3191,16347,15528
United States,2020,16,4/18/2020,76827,71904,745,11210,2270,2899,1232,3196,916,1098,668,14575,3204,17221,16305
United States,2020,17,4/25/2020,73909,68740,735,11367,2085,2804,1138,2993,887,987,675,13858,3058,15557,14659
United States,2020,18,5/2/2020,69303,63930,739,11097,1935,2727,1009,2928,851,961,548,13003,3042,13223,12437
United States,2020,19,5/9/2020,66814,61173,720,11014,1972,2498,864,2808,855,938,587,13170,2849,11243,10463
United States,2020,20,5/16/2020,64479,58978,679,11269,1969,2432,857,2770,787,976,563,12735,2958,9239,8497
United States,2020,21,5/23/2020,61642,56014,713,11116,1834,2417,804,2675,743,917,569,12796,2827,7249,6593
United States,2020,22,5/30/2020,59682,53987,654,10903,1813,2261,751,2634,759,893,576,12448,2851,6176,5596
United States,2020,23,6/6/2020,58908,52924,729,11083,1727,2302,701,2563,779,904,554,12463,2791,5060,4519
United States,2020,24,6/13/2020,58034,52274,693,11130,1741,2326,700,2502,737,923,587,12413,2838,4233,3730
United States,2020,25,6/20/2020,58011,52223,685,11157,1792,2362,756,2564,761,933,613,12420,2923,3852,3347
United States,2020,26,6/27/2020,58510,52643,719,11356,1766,2288,722,2539,775,952,575,12515,2959,3846,3333
United States,2020,27,7/4/2020,59825,53803,682,11298,1933,2362,658,2623,780,985,591,12869,2832,4557,4050
United States,2020,28,7/11/2020,61945,55843,764,11333,1954,2472,739,2614,751,915,668,13029,2921,5786,5236
United States,2020,29,7/18/2020,63194,57155,708,11373,1887,2501,767,2648,712,984,666,12881,2982,7198,6530
United States,2020,30,7/25/2020,64249,58386,683,11553,1957,2510,781,2559,730,969,672,12933,2913,8250,7521
United States,2020,31,8/1/2020,64235,58275,689,11514,1989,2502,760,2737,779,961,624,12834,2989,8308,7613
United States,2020,32,8/8/2020,63719,57822,785,11529,1797,2434,782,2594,730,909,671,12819,3036,7870,7182
United States,2020,33,8/15/2020,63644,57747,736,11703,1895,2527,754,2656,798,969,637,12843,2946,7270,6563
United States,2020,34,8/22/2020,62562,56595,735,11517,1935,2566,697,2642,783,967,624,12769,2930,6389,5748
United States,2020,35,8/29/2020,61104,55332,726,11576,1883,2430,678,2559,745,983,609,12476,2994,5755,5153
United States,2020,36,9/5/2020,60268,54251,701,11378,1837,2506,733,2553,801,929,569,12519,2862,5021,4434
United States,2020,37,9/12/2020,59665,53942,697,11468,1899,2330,681,2560,748,928,604,12355,3046,4628,4078
United States,2020,38,9/19/2020,59740,54127,744,11630,1861,2373,716,2518,778,921,624,12692,2948,4280,3764
United States,2020,39,9/26/2020,60613,55059,764,11863,1843,2499,724,2672,786,923,588,12710,3077,4305,3797
United States,2020,40,10/3/2020,59815,54109,718,11424,1895,2413,763,2578,719,944,650,12656,2886,4246,3699
United States,2020,41,10/10/2020,61779,55933,757,11829,1895,2515,726,2614,798,958,621,12810,3123,4823,4279
United States,2020,42,10/17/2020,60663,55215,776,11321,1845,2538,724,2599,815,1023,600,12589,3039,5204,4592
United States,2020,43,10/24/2020,62189,56847,728,11677,1835,2572,766,2698,796,944,604,12870,3078,6000,5330
United States,2020,44,10/31/2020,63425,58053,699,11528,1937,2460,793,2569,833,921,579,13154,3104,7031,6260
United States,2020,45,11/7/2020,67590,61742,765,11808,1961,2664,801,2896,814,1028,674,13675,3159,8766,7847
United States,2020,46,11/14/2020,68845,63230,795,11745,2025,2737,847,2754,858,1022,593,13478,3175,10654,9581
United States,2020,47,11/21/2020,71676,66245,819,11633,2117,2656,831,2815,857,1032,686,13644,3215,13365,12074
United States,2020,48,11/28/2020,73305,67907,773,11395,2156,2774,810,2755,861,1043,687,13560,3127,15628,14135
United States,2020,49,12/5/2020,77429,71976,844,11358,2214,2843,916,2835,903,1035,702,14303,3313,18578,16861
United States,2020,50,12/12/2020,82006,76426,836,11904,2303,2934,953,3032,969,1086,722,14576,3479,20940,19080
United States,2020,51,12/19/2020,82938,77523,840,11781,2356,3060,948,2948,920,1020,713,14757,3468,22342,20437
United States,2020,52,12/26/2020,84390,78732,858,11694,2330,2982,978,2862,922,1124,773,14849,3385,23400,21376
United States,2020,53,1/2/2021,87035,81121,894,11694,2448,3075,1011,3060,904,1111,712,15230,3509,24893,22761
